x_m,y_m,lat,lon,elevation_m
-5392.75,-11913.82,41.5371444,41.5504608,0.00
-1392.75,-11913.82,41.5371444,41.5985989,516.00
2607.25,-11913.82,41.5371444,41.6467370,323.00
6607.25,-11913.82,41.5371444,41.6948751,467.00
10607.25,-11913.82,41.5371444,41.7430132,389.00
14607.25,-11913.82,41.5371444,41.7911513,332.00
-5392.75,-7913.82,41.5731172,41.5504608,0.00
-1392.75,-7913.82,41.5731172,41.5985989,159.00
2607.25,-7913.82,41.5731172,41.6467370,72.00
6607.25,-7913.82,41.5731172,41.6948751,64.00
10607.25,-7913.82,41.5731172,41.7430132,801.00
14607.25,-7913.82,41.5731172,41.7911513,544.00
-5392.75,-3913.82,41.6090901,41.5504608,0.00
-1392.75,-3913.82,41.6090901,41.5985989,5.00
2607.25,-3913.82,41.6090901,41.6467370,185.00
6607.25,-3913.82,41.6090901,41.6948751,150.00
10607.25,-3913.82,41.6090901,41.7430132,803.00
14607.25,-3913.82,41.6090901,41.7911513,978.00
-5392.75,86.18,41.6450630,41.5504608,0.00
-1392.75,86.18,41.6450630,41.5985989,0.00
2607.25,86.18,41.6450630,41.6467370,4.00
6607.25,86.18,41.6450630,41.6948751,31.00
10607.25,86.18,41.6450630,41.7430132,223.00
14607.25,86.18,41.6450630,41.7911513,823.00
-5392.75,4086.18,41.6810358,41.5504608,0.00
-1392.75,4086.18,41.6810358,41.5985989,0.00
2607.25,4086.18,41.6810358,41.6467370,0.00
6607.25,4086.18,41.6810358,41.6948751,0.00
10607.25,4086.18,41.6810358,41.7430132,147.00
14607.25,4086.18,41.6810358,41.7911513,396.00
-5392.75,8086.18,41.7170087,41.5504608,0.00
-1392.75,8086.18,41.7170087,41.5985989,0.00
2607.25,8086.18,41.7170087,41.6467370,0.00
6607.25,8086.18,41.7170087,41.6948751,0.00
10607.25,8086.18,41.7170087,41.7430132,12.00
14607.25,8086.18,41.7170087,41.7911513,278.00
-5392.75,12086.18,41.7529816,41.5504608,0.00
-1392.75,12086.18,41.7529816,41.5985989,0.00
2607.25,12086.18,41.7529816,41.6467370,0.00
6607.25,12086.18,41.7529816,41.6948751,0.00
10607.25,12086.18,41.7529816,41.7430132,39.00
14607.25,12086.18,41.7529816,41.7911513,100.00
