x_m,y_m,clutter_class
-500,-2250,open
-250,-2250,open
0,-2250,open
-750,-2000,open
-500,-2000,open
-250,-2000,open
0,-2000,open
250,-2000,open
500,-2000,open
-1000,-1750,open
-750,-1750,open
-500,-1750,open
-250,-1750,open
0,-1750,open
250,-1750,open
500,-1750,open
750,-1750,open
1000,-1750,open
-1250,-1500,open
-1000,-1500,open
-750,-1500,suburban
-500,-1500,suburban
-250,-1500,suburban
0,-1500,suburban
250,-1500,suburban
500,-1500,suburban
750,-1500,suburban
1000,-1500,open
1250,-1500,open
1500,-1500,open
-1500,-1250,open
-1250,-1250,open
-1000,-1250,suburban
-750,-1250,suburban
-500,-1250,suburban
-250,-1250,suburban
0,-1250,suburban
250,-1250,suburban
500,-1250,suburban
750,-1250,suburban
1000,-1250,suburban
1250,-1250,open
1500,-1250,open
1750,-1250,open
2000,-1250,open
-1750,-1000,open
-1500,-1000,open
-1250,-1000,suburban
-1000,-1000,suburban
-750,-1000,suburban
-500,-1000,suburban
-250,-1000,suburban
0,-1000,suburban
250,-1000,suburban
500,-1000,suburban
750,-1000,suburban
1000,-1000,suburban
1250,-1000,suburban
1500,-1000,open
1750,-1000,open
2000,-1000,open
2250,-1000,open
-2000,-750,open
-1750,-750,open
-1500,-750,suburban
-1250,-750,suburban
-1000,-750,suburban
-750,-750,suburban
-500,-750,suburban
-250,-750,open
0,-750,open
250,-750,open
500,-750,suburban
750,-750,suburban
1000,-750,suburban
1250,-750,suburban
1500,-750,suburban
1750,-750,open
2000,-750,open
-2250,-500,open
-2000,-500,open
-1750,-500,open
-1500,-500,suburban
-1250,-500,suburban
-1000,-500,suburban
-750,-500,suburban
-500,-500,open
-250,-500,open
0,-500,open
250,-500,open
500,-500,open
750,-500,suburban
1000,-500,suburban
1250,-500,suburban
1500,-500,suburban
1750,-500,open
2000,-500,open
-2250,-250,open
-2000,-250,open
-1750,-250,open
-1500,-250,suburban
-1250,-250,suburban
-1000,-250,suburban
-750,-250,open
-500,-250,open
-250,-250,open
0,-250,open
250,-250,open
500,-250,open
750,-250,open
1000,-250,suburban
1250,-250,suburban
1500,-250,suburban
1750,-250,open
2000,-250,open
-2250,0,open
-2000,0,open
-1750,0,open
-1500,0,suburban
-1250,0,suburban
-1000,0,suburban
-750,0,open
-500,0,open
-250,0,open
0,0,open
250,0,open
500,0,open
750,0,open
1000,0,suburban
1250,0,suburban
1500,0,suburban
1750,0,open
2000,0,open
-2000,250,open
-1750,250,open
-1500,250,suburban
-1250,250,suburban
-1000,250,suburban
-750,250,open
-500,250,open
-250,250,open
0,250,open
250,250,open
500,250,open
750,250,open
1000,250,suburban
1250,250,suburban
1500,250,suburban
1750,250,open
2000,250,open
-2000,500,open
-1750,500,open
-1500,500,suburban
-1250,500,suburban
-1000,500,suburban
-750,500,suburban
-500,500,open
-250,500,open
0,500,open
250,500,open
500,500,open
750,500,suburban
1000,500,suburban
1250,500,suburban
1500,500,suburban
1750,500,open
2000,500,open
-1750,750,open
-1500,750,suburban
-1250,750,suburban
-1000,750,suburban
-750,750,suburban
-500,750,suburban
-250,750,open
0,750,open
250,750,open
500,750,suburban
750,750,suburban
1000,750,suburban
1250,750,suburban
1500,750,suburban
1750,750,open
2000,750,open
-1750,1000,open
-1500,1000,open
-1250,1000,suburban
-1000,1000,suburban
-750,1000,suburban
-500,1000,suburban
-250,1000,suburban
0,1000,suburban
250,1000,suburban
500,1000,suburban
750,1000,suburban
1000,1000,suburban
1250,1000,suburban
1500,1000,open
1750,1000,open
-1500,1250,open
-1250,1250,open
-1000,1250,suburban
-750,1250,suburban
-500,1250,suburban
-250,1250,suburban
0,1250,suburban
250,1250,suburban
500,1250,suburban
750,1250,suburban
1000,1250,suburban
1250,1250,open
1500,1250,open
1750,1250,open
-1500,1500,open
-1250,1500,open
-1000,1500,open
-750,1500,suburban
-500,1500,suburban
-250,1500,suburban
0,1500,suburban
250,1500,suburban
500,1500,suburban
750,1500,suburban
1000,1500,open
1250,1500,open
1500,1500,open
1750,1500,open
-1250,1750,open
-1000,1750,open
-750,1750,open
-500,1750,open
-250,1750,open
0,1750,open
250,1750,open
500,1750,open
750,1750,open
1000,1750,open
1250,1750,open
1500,1750,open
1750,1750,open
-1250,2000,open
-1000,2000,open
-750,2000,open
-500,2000,open
-250,2000,open
0,2000,open
250,2000,open
500,2000,open
-1000,2250,open
